date,tas,pre,etp,qmmobs
200103,8.6775,157.2335,35.3763,117.284261823073
200104,9.0235,24.3224,61.9213,34.2813307127102
200105,12.4309,68.3194,73.4963,27.7868406557878
200106,17.9771,22.6117,109.3572,18.440855864813
200107,20.3059,7.0803,106.0929,13.1939332212134
200108,21.5979,27.4735,99.4939,14.226699930417
200109,16.9756,82.1314,64.1171,14.91972455173
200110,13.0944,79.5069,37.0686,15.6361372153253
200111,4.3854,14.3184,17.4582,15.1314478818647
200112,1.4113,27.4497,12.3949,14.9529601907627
200201,3.8627,40.6736,14.7646,13.7681712067241
200202,5.0117,29.9263,25.1637,12.9643611219686
200203,6.499,87.0253,35.9693,22.9178195374868
200204,8.9395,68.3314,59.4593,24.658382263129
200205,11.544,78.408,65.5253,24.4983588159341
200206,17.7288,46.8729,95.4706,13.5755275952934
200207,20.419,6.1689,103.3217,10.4427608790562
200208,20.2304,45.1499,89.4854,8.81790741523184
200209,16.2197,52.7317,58.0216,10.8631301653411
200210,10.8637,94.6038,30.4499,11.3499707296915
200211,6.6202,102.0376,15.2356,26.9485639824057
200212,5.0537,98.045,9.7087,41.0367820835194
200301,2.4067,117.7587,11.5704,88.6591444939029
200302,3.5269,80.672,20.3413,44.0187574745153
200303,7.6134,79.2158,42.7269,49.3820048547296
200304,9.6213,46.4333,57.426,47.4291033241559
200305,14.2189,66.8096,82.1772,29.6406507440602
200306,19.6778,43.7952,101.3464,19.0267878714649
200307,21.5825,4.5133,112.6369,15.7419988803926
200308,22.1727,43.0677,100.67,15.9451055633707
200309,17.7362,53.8115,62.9117,15.3234760184984
200310,10.9527,184.4193,28.4848,20.6553341840707
200311,7.4447,54.3494,17.7704,33.0393025725595
200312,3.68,42.9874,11.3054,28.9026964625733
200401,4.4056,40.3231,15.0148,25.1606096974019
200402,4.8054,55.8849,24.5168,29.438159535879
200403,5.5061,64.4362,34.0873,33.6110786588826
200404,8.2272,102.2374,55.0027,45.6953108212796
200405,11.3187,105.756,66.5198,62.5143905962528
200406,18.8378,33.15,101.4421,29.5452521505402
200407,20.8408,29.2565,107.042,29.2898301098254
200408,20.8508,17.0287,94.6779,28.0330305745491
200409,18.8853,36.7275,70.9369,27.8083822736794
200410,12.18,92.5834,33.4945,14.1109906685992
200411,5.9558,30.8132,19.2838,13.9312720279035
200412,2.9492,39.9325,9.4082,13.9318875027004
200501,1.80,13.5252,15.2283,13.1557737838054
200502,2.1332,33.0139,20.1112,12.1587046128223
200503,6.0129,31.7264,40.6759,14.0082063775163
200504,9.2655,21.9186,60.1238,13.8543376782906
200505,14.446,34.0779,86.1198,9.24381597468884
200506,19.4947,71.1227,110.8153,8.02948420039887
200507,21.933,8.4856,113.3713,8.50524621840503
200508,21.6227,6.5458,100.9003,8.33599064925665
200509,16.9092,34.094,64.7531,8.72250882171185
200510,12.8373,69.1223,36.4607,12.3568874974251
200511,5.5098,57.0956,15.7225,11.8245017981039
200512,2.6767,97.9033,10.4686,13.1680832797435
200601,2.5662,32.627,12.0091,12.2024033234024
200602,3.5067,68.0798,22.8957,10.940064514954
200603,7.4379,71.4022,39.1171,29.5612544952597
200604,10.6667,72.0017,66.0207,20.6830305499313
200605,15.5308,24.9179,89.8476,12.980363466688
200606,18.6594,73.683,105.6176,9.38537517797657
200607,22.0417,27.0176,110.1663,9.47584997312134
200608,20.428,5.4248,92.6064,8.98223918600499
200609,16.9092,107.3912,58.6395,9.71773156830429
200610,12.7397,143.0064,36.3742,19.2009672389885
200611,8.8607,60.3413,18.71,16.8160024009887
200612,2.0613,49.9299,10.5544,26.8051583547272
200701,3.0199,23.0868,14.8224,14.322098523937
200702,4.9244,117.607,20.6968,44.4994432908967
200703,4.947,71.0488,36.2815,26.2500000879206
200704,8.5862,102.9672,58.2814,39.6827375303324
200705,11.9415,81.695,75.8217,29.7643611782377
200706,15.9011,41.8033,95.075,18.193434996458
200707,19.1928,4.0003,112.024,12.758177065006
200708,19.056,12.9052,95.0285,11.7438745997096
200709,16.714,40.9425,65.6181,10.9886870239094
200710,10.5499,28.9802,37.362,12.0319168046602
200711,5.548,37.5679,22.1019,12.13531657054
200712,2.7625,11.7048,12.29,12.2399472860135
200801,4.8869,69.0989,16.1207,11.6829425948161
200802,5.0613,43.4123,25.8269,10.755422075883
200803,5.5953,29.668,40.353,10.7006448189587
200804,8.6151,189.9447,60.2773,42.5816238237464
200805,11.1309,122.8913,65.3646,18.778136053516
200806,15.5885,59.9816,90.6633,22.452520591028
200807,19.049,9.7375,108.087,12.7926436536326
200808,19.7697,13.6486,96.7117,11.9303634631712
200809,15.2528,39.5878,60.0013,11.4546014451651
200810,10.5133,146.4702,33.4745,9.60079135689269
200811,3.9215,51.3476,16.291,18.530099710364
200812,2.531,61.1077,10.4684,28.5500294039478
200901,1.0371,116.9072,11.4365,64.5522276487992
200902,3.6664,58.9698,24.3393,62.1475676172985
200903,7.3717,52.5792,45.3706,29.1710434740231
200904,7.5479,77.7535,58.5292,30.5490915442893
200905,13.884,33.7708,91.3606,17.9318582077741
200906,17.6517,17.5431,102.3921,13.3373388488919
200907,19.9907,5.5071,112.6877,11.900205198123
200908,21.5367,6.9602,105.4805,11.6934056663635
200909,17.2491,63.9267,62.6314,11.3715123475831
200910,13.1813,45.585,45.6606,10.4870750644333
200911,8.0244,19.5702,21.5949,11.7814185623206
200912,3.6725,292.6399,11.3187,50.4609321737009
