date,tas,pre,etp,qmmobs,snt,rt,mt,spt,Wi,Yi,Swi,eti,Rgi,Roi,Sgi,Qgi,Qbi,Qmmsim
1993-01-01,4.3558,16.6494,18.4779,24.8781067656234,0,16.6494,1.3585394664808845e-21,1.103181982990499e-22,388.4223411915626,366.0588716869603,351.7706396364937,14.288232050466604,7.464759784356718,14.898709720245616,57.524679889713134,7.315704171123836,7.315704171123836,22.214413891369453
1993-02-01,3.3098,22.338,23.2523,20.9723037044758,0,22.338,9.955628240107843e-23,1.0761915897971456e-23,374.1086396364937,355.16249930154856,337.8064530736079,17.35604622794068,6.32408072512951,12.622059609815631,56.64493770236834,7.2038229124743145,7.2038229124743145,19.825882522289945
1993-03-01,5.9908,38.0424,39.0244,20.2429660701456,0,38.0424,1.0224849154354114e-23,5.370667436173421e-25,375.84885307360787,356.5174323466915,327.76479759791306,28.752634748778462,6.452684454309188,12.878736272607162,55.978547458315184,7.119074698362345,7.119074698362345,19.997810970969507
1993-04-01,7.4018,59.0604,51.1509,18.7996776714076,0,59.0604,5.1823198174962e-25,1.883476186772212e-26,386.8251975979131,364.8722087215691,326.7943372075865,38.077871513982586,7.32774440374013,14.625244472603836,56.16367372149826,7.142618140557062,7.142618140557062,21.767862613160897
1993-05-01,10.454,101.71,61.4438,27.7763775842405,0,101.71,1.8526809721447115e-26,3.079521462750051e-28,428.5043372075865,392.97634638645644,344.2454447524206,48.73090163403583,11.858979083991745,23.669011737138316,60.34790485222183,7.674747953268189,7.674747953268189,31.343759690406504
1993-06-01,15.4693,48.5263,85.6094,22.9042790919549,0,48.5263,3.065151898733287e-28,1.4369564016764081e-30,392.7717447524206,369.2507754804892,307.0502059164434,62.20056956404579,7.851124597373858,15.669844674557533,60.50438156251832,7.694647887077372,7.694647887077372,23.364492561634904
1993-07-01,21.2607,11.3146,105.1954,16.679982470873,0,11.3146,1.4353803442533676e-30,1.576057423040567e-33,318.3648059164434,308.3733209464566,245.83090654320603,62.542414403250575,3.3350833677490375,6.656401602237763,56.63669081599814,7.202774114269215,7.202774114269215,13.859175716506979
1993-08-01,21.8006,7.5572,94.514,17.7312134239837,0,7.5572,1.5745470717128857e-33,1.5103513276812158e-36,253.38810654320602,248.69036246309707,202.86827570979872,45.82208675329835,1.568072032793495,3.1296720473154522,51.637731630212485,6.567031218579156,6.567031218579156,9.696703265894609
1993-09-01,14.4939,67.762200000000007,49.7018,14.6784584313439,0,67.762200000000007,1.5013574380027301e-36,8.993889678485675e-39,270.6304757097987,264.868891141268,237.96919235148872,26.899698789779308,1.9231740751356572,3.8384104933950223,47.517823960025,6.043081745323148,6.043081745323148,9.88149223871817
1993-10-01,8.135,162.7998,24.3098,25.2018465087945,0,162.7998,8.731305619098085e-39,2.625840593875904e-40,400.7689923514887,374.9611047825342,355.8258251948508,19.135279587683442,8.614480915149784,17.193406653804686,49.79910153503389,6.3332033401408925,6.3332033401408925,23.526609993945577
1993-11-01,5.0706,52.2731,16.0795,31.9474502828533,0,52.2731,2.4609018773269317e-40,1.6493871654897208e-41,408.0989251948508,380.00306252743235,367.0625995978041,12.940462929628268,9.378189985386337,18.71767268203209,52.500533436977115,6.676758083443117,6.676758083443117,25.394430765475207
